cpp/-O0;cpp/-O1;cpp/-O2;cpp/-O3;cpp/-Ofast;cpp/-Os;java/;php/;cs/;java//no-inline;php//no-inline;cs//no-inlline;java//dce=no;php//dce=no;cs//dce=no;java//no-pattern-matching;php//no-pattern-matching;cs//no-pattern-matching;java//no-opt;php//no-opt;cs//no-opt
1.445645646;1.015015015;1.025825826;1;1.013813814;1.064264264;1.075075075;119.5903904;2.00960961;1.031831832;120.5717718;2.011411411;1.034834835;118.8978979;2.052252252;1.033633634;119.2126126;2.021621622;1.025225225;118.9147147;2.015615616
1.392608089;1.056485356;1;1.027894003;1.010460251;1.022315202;1.184100418;142.6443515;2.325662483;1.138075314;142.3410042;2.290794979;1.267782427;141.7880056;2.353556485;1.223152022;143.8758717;2.306834031;1.206415621;143.2336123;2.339609484
2.702156334;1.210242588;1.190925427;1.190026954;1.188230009;1.284591195;1.011680144;35.7214735;1.661500449;1.053234501;35.47484277;1.661051213;1.019092543;35.39577718;1.665318958;1;35.37286613;1.657906559;1.021114106;35.24865229;1.656783468
1.083645443;1.009987516;1.086142322;1.057428215;1;1.016229713;1.474406991;1.921348315;1.238451935;1.501872659;1.946317104;1.202247191;1.458177278;2.011235955;1.184769039;1.539325843;1.946317104;1.213483146;1.539325843;1.95505618;1.225967541
1.059431525;1.062015504;1.082687339;1;1.081395349;1.050387597;1.313953488;1.174418605;1.138242894;1.325581395;1.177002584;1.125322997;1.328165375;1.158914729;1.104651163;1.289405685;1.167958656;1.133074935;1.303617571;1.125322997;1.087855297
1.066257669;1.057668712;1.025766871;1;1.013496933;1.006134969;1.289570552;1.769325153;1.132515337;1.343558282;1.758282209;1.141104294;1.317791411;1.775460123;1.110429448;1.348466258;1.734969325;1.079754601;1.327607362;1.732515337;1.10797546
1.091719745;1.020382166;1.067515924;1.085350318;1;1.026751592;1.468789809;1.410191083;1.285350318;1.499363057;1.411464968;1.238216561;1.478980892;1.458598726;1.249681529;1.505732484;1.429299363;1.233121019;1.486624204;1.445859873;1.287898089
1.05625;1.0025;1;1.03375;1.05625;1.00625;1.23625;1.22625;1.1725;1.255;1.28;1.12625;1.28125;1.29375;1.17375;1.26875;1.2925;1.08625;1.26375;1.22875;1.15625
1.193317422;1.019093079;1.002386635;1.046539379;1;1.079952267;1.529832936;1.764916468;1.208830549;1.572792363;1.77326969;1.254176611;1.482100239;1.757756563;1.244630072;1.559665871;1.846062053;1.242243437;1.501193317;1.742243437;1.257756563
1.242548818;1.011305242;1.002055498;1.044193217;1;1.042137718;1.250770812;5.180883864;1.163412127;1.192189106;5.121274409;1.193216855;1.224049332;5.103802672;1.132579651;1.17368962;5.105858171;1.19938335;1.206577595;5.069886948;1.14696814
1.054224464;1.036569987;1;1.005044136;1.051702396;1.097099622;1.301387137;1.658259773;1.088272383;1.300126103;1.616645649;1.174022699;1.313997478;1.636822194;1.087011349;1.339218159;1.583858764;1.109709962;1.322824716;1.5889029;1.139974779
1.187637969;1.011037528;1.005518764;1.01986755;1;1.007726269;1.388520971;3.637969095;1.253863135;1.357615894;3.611479029;1.252759382;1.406181015;3.646799117;1.226269316;1.387417219;3.645695364;1.258278146;1.390728477;3.639072848;1.253863135
1.079701121;1;1.052303861;1.0373599;1.02117061;1.03486924;1.250311333;3.945205479;1.120797011;1.287671233;3.816936488;1.109589041;1.278953923;3.826899128;1.178082192;1.310087173;3.861768369;1.140722291;1.321295143;3.897882939;1.138231631
1.169977925;1.084988962;1.056291391;1.070640177;1;1.067328918;1.433774834;4.277041943;1.32781457;1.475717439;4.281456954;1.310154525;1.429359823;4.290286976;1.283664459;1.44812362;4.221854305;1.324503311;1.406181015;4.19205298;1.301324503
1.017456359;1.021197007;1;1.041147132;1.05361596;1.003740648;1.39276808;1.321695761;1.201995012;1.390274314;1.359102244;1.173316708;1.374064838;1.351620948;1.177057357;1.372817955;1.332917706;1.134663342;1.3840399;1.326683292;1.209476309
1.038119441;1;1.031766201;1.026683609;1.029224905;1.017789072;1.331639136;1.184243964;1.16772554;1.297331639;1.17407878;1.15501906;1.306226175;1.184243964;1.184243964;1.343074968;1.224904701;1.196950445;1.304955527;1.162642948;1.156289708
1.255771006;1.027700831;1.027700831;1.038781163;1;1.031394275;1.475530933;6.184672207;1.991689751;1.442289935;6.233610342;1.962142198;1.460757156;6.299168975;1.978762696;1.440443213;6.222530009;1.975069252;1.442289935;6.228070175;1.942751616
1.114416476;1.012585812;1.041189931;1;1.02173913;1.054919908;1.440503432;2.924485126;1.159038902;1.356979405;2.946224256;1.173913043;1.441647597;2.995423341;1.178489703;1.399313501;2.933638444;1.163615561;1.429061785;2.946224256;1.184210526
1.04;1.0075;1.0625;1.0075;1.025;1;1.36625;1.42375;1.1425;1.36375;1.45125;1.1725;1.36875;1.43;1.175;1.3525;1.43625;1.16625;1.38125;1.45375;1.15
1.049937578;1.041198502;1;1.02372035;1.031210986;1.038701623;1.339575531;1.729088639;1.123595506;1.343320849;1.752808989;1.126092385;1.390761548;1.764044944;1.129837703;1.370786517;1.74906367;1.151061174;1.365792759;1.722846442;1.133583021
1.094951923;1;1.016826923;1.009615385;1.034855769;1.036057692;1.423076923;2.598557692;1.300480769;1.462740385;2.682692308;1.205528846;1.474759615;2.580528846;1.259615385;1.431490385;2.695913462;1.260817308;1.391826923;2.627403846;1.225961538
1.168295331;1.043431053;1.016286645;1.045602606;1;1.013029316;1.572204126;3.32247557;1.233441911;1.592833876;3.345276873;1.233441911;1.578718784;3.280130293;1.250814332;1.534201954;3.298588491;1.21606949;1.618892508;3.266015201;1.191096634
